ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Stabling_Type,Memorized_Localisation,Update_Priority_Level,Automatic_Awakening,Energy_Monitoring_Inhibition_Area_ID,ATO_Margin_Inhibition_Area_ID,SSP_ID_List,Default_Stop,Coupling_Memorized_Localisation
2135,STL_ZD_132E,TR_7B_ZD_ZD,996077,0,999327,0,Siding,true,None,false,0,0,SSP_ZD_132E_U;SSP_ZD_132E_D,true,false
2136,STL_ZD_132D,TR_7B_ZD_ZD,992877,0,996077,0,Siding,true,None,false,0,0,SSP_ZD_132D_U;SSP_ZD_132D_D,true,false
2137,STL_ZD_132C,TR_7B_ZD_ZD,989677,0,992877,0,Siding,true,None,false,0,0,SSP_ZD_132C_U;SSP_ZD_132C_D,true,false
2138,STL_ZD_132B,TR_7B_ZD_ZD,986477,0,989677,0,Siding,true,None,false,0,0,SSP_ZD_132B_U;SSP_ZD_132B_D,true,false
2139,STL_ZD_132A,TR_7B_ZD_ZD,982277,0,986477,0,Siding,true,None,false,0,0,SSP_ZD_132A_U;SSP_ZD_132A_D,true,false
2140,STL_ZD_142D,TR_S_1921_ZD,1008658,0,1012858,0,Siding,true,None,false,0,0,SSP_ZD_142D_U;SSP_ZD_142D_D,true,false
2141,STL_ZD_142C,TR_S_1921_ZD,1005458,0,1008658,0,Siding,true,None,false,0,0,SSP_ZD_142C_U;SSP_ZD_142C_D,true,false
2142,STL_ZD_142B,TR_S_1921_ZD,1002258,0,1005458,0,Siding,true,None,false,0,0,SSP_ZD_142B_U;SSP_ZD_142B_D,true,false
2143,STL_ZD_142A,TR_S_1921_ZD,999008,0,1002258,0,Siding,true,None,false,0,0,SSP_ZD_142A_U;SSP_ZD_142A_D,true,false
2144,STL_ZD_141E,TR_S_1921_ZD,995758,0,999008,0,Siding,true,None,false,0,0,SSP_ZD_141E_U;SSP_ZD_141E_D,true,false
2145,STL_ZD_141D,TR_S_1921_ZD,992558,0,995758,0,Siding,true,None,false,0,0,SSP_ZD_141D_U;SSP_ZD_141D_D,true,false
2146,STL_ZD_141C,TR_S_1921_ZD,989358,0,992558,0,Siding,true,None,false,0,0,SSP_ZD_141C_U;SSP_ZD_141C_D,true,false
2147,STL_ZD_141B,TR_S_1921_ZD,986158,0,989358,0,Siding,true,None,false,0,0,SSP_ZD_141B_U;SSP_ZD_141B_D,true,false
2148,STL_ZD_141A,TR_S_1921_ZD,981958,0,986158,0,Siding,true,None,false,0,0,SSP_ZD_141A_U;SSP_ZD_141A_D,true,false
2149,STL_ZD_152D,TR_S_1799_EOT_ZD,957003,0,961203,0,Siding,true,None,false,0,0,SSP_ZD_152D_U;SSP_ZD_152D_D,true,false
2150,STL_ZD_152C,TR_S_1799_EOT_ZD,953803,0,957003,0,Siding,true,None,false,0,0,SSP_ZD_152C_U;SSP_ZD_152C_D,true,false
2151,STL_ZD_152B,TR_S_1799_EOT_ZD,950603,0,953803,0,Siding,true,None,false,0,0,SSP_ZD_152B_U;SSP_ZD_152B_D,true,false
2152,STL_ZD_152A,TR_S_1799_EOT_ZD,947353,0,950603,0,Siding,true,None,false,0,0,SSP_ZD_152A_U;SSP_ZD_152A_D,true,false
2153,STL_ZD_151E,TR_S_1799_EOT_ZD,944103,0,947353,0,Siding,true,None,false,0,0,SSP_ZD_151E_U;SSP_ZD_151E_D,true,false
2154,STL_ZD_151D,TR_S_1799_EOT_ZD,940903,0,944103,0,Siding,true,None,false,0,0,SSP_ZD_151D_U;SSP_ZD_151D_D,true,false
2155,STL_ZD_151C,TR_S_1799_EOT_ZD,937703,0,940903,0,Siding,true,None,false,0,0,SSP_ZD_151C_U;SSP_ZD_151C_D,true,false
2156,STL_ZD_151B,TR_S_1799_EOT_ZD,934503,0,937703,0,Siding,true,None,false,0,0,SSP_ZD_151B_U;SSP_ZD_151B_D,true,false
2157,STL_ZD_151A,TR_S_1799_EOT_ZD,930865,0,934503,0,Siding,true,None,false,0,0,SSP_ZD_151A_U;SSP_ZD_151A_D,true,false
2158,STL_ZD_161D,TR_S_1915_ZD,958024,0,962224,0,Siding,true,None,false,0,0,SSP_ZD_161D_U;SSP_ZD_161D_D,true,false
2159,STL_ZD_161C,TR_S_1915_ZD,954824,0,958024,0,Siding,true,None,false,0,0,SSP_ZD_161C_U;SSP_ZD_161C_D,true,false
2160,STL_ZD_161B,TR_S_1915_ZD,951624,0,954824,0,Siding,true,None,false,0,0,SSP_ZD_161B_U;SSP_ZD_161B_D,true,false
2161,STL_ZD_161A,TR_S_1915_ZD,948374,0,951624,0,Siding,true,None,false,0,0,SSP_ZD_161A_U;SSP_ZD_161A_D,true,false
2162,STL_ZD_160E,TR_S_1915_ZD,945124,0,948374,0,Siding,true,None,false,0,0,SSP_ZD_160E_U;SSP_ZD_160E_D,true,false
2163,STL_ZD_160D,TR_S_1915_ZD,941924,0,945124,0,Siding,true,None,false,0,0,SSP_ZD_160D_U;SSP_ZD_160D_D,true,false
2164,STL_ZD_160C,TR_S_1915_ZD,938724,0,941924,0,Siding,true,None,false,0,0,SSP_ZD_160C_U;SSP_ZD_160C_D,true,false
2165,STL_ZD_160B,TR_S_1915_ZD,935524,0,938724,0,Siding,true,None,false,0,0,SSP_ZD_160B_U;SSP_ZD_160B_D,true,false
2166,STL_ZD_160A,TR_S_1915_ZD,931324,0,935524,0,Siding,true,None,false,0,0,SSP_ZD_160A_U;SSP_ZD_160A_D,true,false
2171,STL_ZD_102D,TR_S_1831A_ZD,872965,-7,876760,-1,Siding,true,None,false,0,0,SSP_ZD_102D_U;SSP_ZD_102D_D,true,false
