ID,Name,Track_ID,Direction_Of_Traffic,Remote_Door_Opening,Left_Track_ID,Right_Track_ID,Track_Container_Type,No_Evacuation_Way_Side,Secured,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value
1038,TC_3313_ND,TR_I_3313_CSN,Both,false,0,0,Open Area,None,false,0,0
1039,TC_3421_ND,TR_I_3421_VZG,Both,false,0,0,Open Area,None,false,0,0
1040,TC_3423_ND,TR_I_3423_VZG,Both,false,0,0,Open Area,None,false,0,0
1041,TC_3501_ND,TR_I_3501_ZD,Both,false,0,0,Open Area,None,false,0,0
1042,TC_3503_ND,TR_I_3503_ZD,Both,false,0,0,Open Area,None,false,0,0
1043,TC_3521_ND,TR_I_3521_ZD,Both,false,0,0,Open Area,None,false,0,0
1044,TC_3523_ND,TR_I_3523_ZD,Both,false,0,0,Open Area,None,false,0,0
2001,TC_2A_CS_GN_1,TR_2A_CS_GN,Both,false,0,TR_1A_CS_GN,Dual Underground,None,false,11366,-70
2002,TC_2A_CS_GN_2,TR_2A_CS_GN,Both,false,0,TR_S_EOT_239_WPP,Dual Underground,None,false,157917,0
2003,TC_2A_CS_GN_3,TR_2A_CS_GN,Both,false,0,TR_1A_CS_GN,Open Area,None,false,311194,0
2004,TC_1A_CS_GN_1,TR_1A_CS_GN,Both,false,TR_2A_CS_GN,0,Dual Underground,None,false,11168,1
2005,TC_1A_CS_GN_2,TR_1A_CS_GN,Both,false,TR_S_EOT_239_WPP,0,Dual Underground,None,false,158217,0
2006,TC_1A_CS_GN_3,TR_1A_CS_GN,Both,false,TR_2A_CS_GN,0,Open Area,None,false,311254,0
2007,TC_EOT_239_WPP,TR_S_EOT_239_WPP,Both,false,TR_2A_CS_GN,TR_1A_CS_GN,Dual Underground,None,false,181246,-1
2008,TC_235_WPP,TR_I_235_WPP,Both,false,0,0,Dual Underground,None,false,0,0
2009,TC_237_WPP,TR_I_237_WPP,Both,false,0,0,Dual Underground,None,false,0,0
2010,TC_245_WPP,TR_I_245_WPP,Both,false,0,0,Dual Underground,None,false,0,0
2011,TC_247_WPP,TR_I_247_WPP,Both,false,0,0,Dual Underground,None,false,0,0
2012,TC_261_WPP,TR_I_261_SLW,Both,false,0,0,Open Area,None,false,0,0
2013,TC_263_WPP,TR_I_263_SLW,Both,false,0,0,Open Area,None,false,0,0
2014,TC_EOT_309_SLW,TR_S_EOT_309_SLW,Both,false,TR_4A_SLW_ZD,TR_3A_SLW_ZD,Open Area,None,false,447076,-3
2015,TC_4A_SLW_ZD,TR_4A_SLW_ZD,Both,false,TR_2A_CS_GN,TR_S_EOT_239_WPP,Open Area,None,false,445083,0
2016,TC_3A_SLW_ZD,TR_3A_SLW_ZD,Both,false,TR_S_EOT_239_WPP,0,Open Area,None,false,445179,0
2017,TC_319_SLW,TR_I_319_SLW,Both,false,0,0,Open Area,None,false,0,0
2018,TC_345_LCM,TR_I_345_LCM,Both,false,0,0,Open Area,None,false,0,0
2019,TC_329_SLW,TR_I_329_SLW,Both,false,0,0,Open Area,None,false,0,0
2020,TC_327_SLW,TR_I_327_SLW,Both,false,0,0,Open Area,None,false,0,0
2021,TC_377_LCM,TR_I_377_LCM,Both,false,0,0,Open Area,None,false,0,0
2022,TC_379_LCM,TR_I_379_LCM,Both,false,0,0,Open Area,None,false,0,0
2024,TC_369_LCM,TR_I_369_LCM,Both,false,0,0,Open Area,None,false,0,0
2025,TC_371_LCM,TR_I_371_LCM,Both,false,0,0,Open Area,None,false,0,0
