ID,Name,ATC_Equipment_Type,SSID,Urbalis_Sector_ID,IP_Address_Blue,IP_Address_Red,MIB_IP_Address_Blue,MIB_IP_Address_Red,Subnet_Mask_Blue,Subnet_Mask_Red,Gateway_IP_Address_Blue,Gateway_IP_Address_Red,Technical_Room_ID,Train_ID
5271,CC_151,CC,151,US_SCMA,10.69.151.24,10.65.151.24,10.69.151.24,10.65.151.24,255.255.255.0,255.255.255.0,10.69.151.138,10.65.151.137,0,151
5273,CC_153,CC,153,US_SCMA,10.69.153.24,10.65.153.24,10.69.153.24,10.65.153.24,255.255.255.0,255.255.255.0,10.69.153.138,10.65.153.137,0,153
5275,CC_155,CC,155,US_SCMA,10.69.155.24,10.65.155.24,10.69.155.24,10.65.155.24,255.255.255.0,255.255.255.0,10.69.155.138,10.65.155.137,0,155
5277,CC_157,CC,157,US_SCMA,10.69.157.24,10.65.157.24,10.69.157.24,10.65.157.24,255.255.255.0,255.255.255.0,10.69.157.138,10.65.157.137,0,157
5279,CC_159,CC,159,US_SCMA,10.69.159.24,10.65.159.24,10.69.159.24,10.65.159.24,255.255.255.0,255.255.255.0,10.69.159.138,10.65.159.137,0,159
5281,CC_161,CC,161,US_SCMA,10.69.161.24,10.65.161.24,10.69.161.24,10.65.161.24,255.255.255.0,255.255.255.0,10.69.161.138,10.65.161.137,0,161
5283,CC_163,CC,163,US_SCMA,10.69.163.24,10.65.163.24,10.69.163.24,10.65.163.24,255.255.255.0,255.255.255.0,10.69.163.138,10.65.163.137,0,163
5285,CC_165,CC,165,US_SCMA,10.69.165.24,10.65.165.24,10.69.165.24,10.65.165.24,255.255.255.0,255.255.255.0,10.69.165.138,10.65.165.137,0,165
5287,CC_167,CC,167,US_SCMA,10.69.167.24,10.65.167.24,10.69.167.24,10.65.167.24,255.255.255.0,255.255.255.0,10.69.167.138,10.65.167.137,0,167
5289,CC_169,CC,169,US_SCMA,10.69.169.24,10.65.169.24,10.69.169.24,10.65.169.24,255.255.255.0,255.255.255.0,10.69.169.138,10.65.169.137,0,169
5291,CC_171,CC,171,US_SCMA,10.69.171.24,10.65.171.24,10.69.171.24,10.65.171.24,255.255.255.0,255.255.255.0,10.69.171.138,10.65.171.137,0,171
5293,CC_173,CC,173,US_SCMA,10.69.173.24,10.65.173.24,10.69.173.24,10.65.173.24,255.255.255.0,255.255.255.0,10.69.173.138,10.65.173.137,0,173
5295,CC_175,CC,175,US_SCMA,10.69.175.24,10.65.175.24,10.69.175.24,10.65.175.24,255.255.255.0,255.255.255.0,10.69.175.138,10.65.175.137,0,175
5933,TRS_1_45,TRS_1,45,0,0.0.0.0,10.65.45.137,0.0.0.0,10.65.45.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.45.137,0,45
5934,TRS_1_46,TRS_1,46,0,0.0.0.0,10.65.46.137,0.0.0.0,10.65.46.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.46.137,0,46
5935,TRS_1_47,TRS_1,47,0,0.0.0.0,10.65.47.137,0.0.0.0,10.65.47.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.47.137,0,47
5936,TRS_1_48,TRS_1,48,0,0.0.0.0,10.65.48.137,0.0.0.0,10.65.48.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.48.137,0,48
5937,TRS_1_49,TRS_1,49,0,0.0.0.0,10.65.49.137,0.0.0.0,10.65.49.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.49.137,0,49
5938,TRS_1_50,TRS_1,50,0,0.0.0.0,10.65.50.137,0.0.0.0,10.65.50.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.50.137,0,50
5939,TRS_1_51,TRS_1,51,0,0.0.0.0,10.65.51.137,0.0.0.0,10.65.51.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.51.137,0,51
5940,TRS_1_52,TRS_1,52,0,0.0.0.0,10.65.52.137,0.0.0.0,10.65.52.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.52.137,0,52
5941,TRS_1_53,TRS_1,53,0,0.0.0.0,10.65.53.137,0.0.0.0,10.65.53.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.53.137,0,53
5942,TRS_1_54,TRS_1,54,0,0.0.0.0,10.65.54.137,0.0.0.0,10.65.54.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.54.137,0,54
5943,TRS_1_55,TRS_1,55,0,0.0.0.0,10.65.55.137,0.0.0.0,10.65.55.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.55.137,0,55
5944,TRS_1_56,TRS_1,56,0,0.0.0.0,10.65.56.137,0.0.0.0,10.65.56.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.56.137,0,56
5945,TRS_1_57,TRS_1,57,0,0.0.0.0,10.65.57.137,0.0.0.0,10.65.57.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.57.137,0,57
5946,TRS_1_58,TRS_1,58,0,0.0.0.0,10.65.58.137,0.0.0.0,10.65.58.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.58.137,0,58
5947,TRS_1_59,TRS_1,59,0,0.0.0.0,10.65.59.137,0.0.0.0,10.65.59.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.59.137,0,59
5948,TRS_1_60,TRS_1,60,0,0.0.0.0,10.65.60.137,0.0.0.0,10.65.60.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.60.137,0,60
5949,TRS_1_61,TRS_1,61,0,0.0.0.0,10.65.61.137,0.0.0.0,10.65.61.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.61.137,0,61
5950,TRS_1_62,TRS_1,62,0,0.0.0.0,10.65.62.137,0.0.0.0,10.65.62.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.62.137,0,62
