ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Direction_After_Change_Of_Ends,Traffic_Direction_Self_Normalized
2050,COE_BMR_1A_LU_1_D,TR_1A_CS_GN,831696,14,850683,-68,Down,false
2051,COE_BLW_2A_RD_6_U,TR_2A_CS_GN,889839,41,908825,17,Up,false
2052,COE_BLW_2A_RD_6_D,TR_2A_CS_GN,889839,41,908825,17,Down,false
2053,COE_BLW_1A_LU_5_U,TR_1A_CS_GN,890946,6,912916,-1,Up,false
2054,COE_BLW_1A_LU_5_D,TR_1A_CS_GN,890946,6,912916,-1,Down,false
2055,COE_HLD_2A_RD_2_U,TR_2A_CS_GN,998767,-15,1017753,-33,Up,false
2056,COE_HLD_2A_RD_2_D,TR_2A_CS_GN,998767,-15,1017753,-33,Down,false
2057,COE_HLD_1A_LU_1_U,TR_1A_CS_GN,999809,3,1018847,6,Up,false
2058,COE_HLD_1A_LU_1_D,TR_1A_CS_GN,999809,3,1018847,6,Down,false
2059,COE_RGB_2A_RD_6_12_U,TR_2A_CS_GN,1121435,-27,1138327,-17,Up,false
2060,COE_RGB_2A_RD_6_12_D,TR_2A_CS_GN,1121435,-27,1138327,-17,Down,false
2061,COE_RGB_1A_LU_5_U,TR_1A_CS_GN,1121983,2,1140970,-21,Up,false
2062,COE_RGB_1A_LU_5_D,TR_1A_CS_GN,1121983,2,1140970,-21,Down,false
2063,COE_GN_2A_RD_16_U,TR_2A_CS_GN,1222782,23,1246765,36,Up,false
2064,COE_GN_2A_RD_16_D,TR_2A_CS_GN,1222782,23,1246765,36,Down,false
2065,COE_GN_1A_LU_9_U,TR_1A_CS_GN,1216781,4760,1248189,-34,Up,false
2066,COE_GN_1A_LU_9_D,TR_1A_CS_GN,1216781,4760,1248189,-34,Down,false
2067,COE_VPD_5D_LU_1_U,TR_5D_MDW_DMZ,59401,20,185747,29,Up,false
2068,COE_VPD_5D_LU_1_D,TR_5D_MDW_DMZ,59401,20,185747,29,Down,false
2069,COE_VPD_6D_RD_2_U,TR_6D_MDW_DMZ,51622,31,183965,-4,Up,false
2070,COE_VPD_6D_RD_2_D,TR_6D_MDW_DMZ,51622,31,183965,-4,Down,false
2071,COE_DMZ_5D_LU_5_U,TR_5D_MDW_DMZ,246263,-66,264571,-15,Up,false
2072,COE_DMZ_5D_LU_5_D,TR_5D_MDW_DMZ,246263,-66,264571,-15,Down,false
2073,COE_DMZ_6D_RD_6_U,TR_6D_MDW_DMZ,244415,-37,263401,-32,Up,false
2074,COE_DMZ_6D_RD_6_D,TR_6D_MDW_DMZ,244415,-37,263401,-32,Down,false
