ID,Name,Track_ID,Platform_Type,Stabling_Location_ID,PSD_ID,ESP_ID_List,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Platform_Length,Max_Alignment_Distance,C_Dock_Prec_Dist_Max,Skip_Speed,C_Late_Change_Distance,SSP_ID_List,Secondary_SSP_ID_List,Pre_Platform_SSP_ID_List,Default_Stop
53,PF_GZH_6E_RD,TR_6E_DMZ_GPP,Single Right Docking,0,0,0,845423,0,860894,0,15471,0,0,25,77935,SSP_GZH_2_D_1;SSP_GZH_2_D_2;SSP_GZH_2_D_3;SSP_GZH_2_D_4;SSP_GZH_2_U,0,SSP_PP_GPP_2_U;SSP_PP_GPP_2_D,true
54,PF_KEN_5E_LU,TR_5E_DMZ_GPP,Single Left Docking,0,0,0,934615,0,951239,0,16624,0,0,25,50843,SSP_KEN_5_U_1;SSP_KEN_5_U_2;SSP_KEN_5_U_3;SSP_KEN_5_U_4;SSP_KEN_5_D_1;SSP_KEN_5_D_2;SSP_KEN_5_D_3;SSP_KEN_5_D_4,0,SSP_PP_GPP_5_U;SSP_PP_GPP_5_D,true
55,PF_KEN_6E_RD,TR_6E_DMZ_GPP,Single Right Docking,0,0,0,935732,0,952365,0,16633,0,0,25,50637,SSP_KEN_8_U_1;SSP_KEN_8_U_2;SSP_KEN_10_U_3;SSP_KEN_10_U_4;SSP_KEN_8_D_1;SSP_KEN_8_D_2;SSP_KEN_6_D_3;SSP_KEN_6_D_4,0,SSP_PP_GPP_12_U;SSP_PP_GPP_6_D,true
56,PF_GPP_5E_LU,TR_5E_DMZ_GPP,Single Left Docking,0,0,ESP_GPP_5E_LU,1006424,0,1019092,0,12668,0,0,25,53185,SSP_GPP_9_D_1;SSP_GPP_9_D_2;SSP_GPP_9_D_3;SSP_GPP_9_D_4;SSP_GPP_9_U,0,SSP_PP_GPP_9_U;SSP_PP_GPP_9_D,true
57,PF_GPP_6E_RD,TR_6E_DMZ_GPP,Single Right Docking,0,0,0,1007482,0,1020199,0,12717,0,0,25,54317,SSP_GPP_16_U;SSP_GPP_16_D_1;SSP_GPP_16_D_2;SSP_GPP_16_D_3;SSP_GPP_16_D_4,0,SSP_PP_GPP_16_U;SSP_PP_GPP_16_D,true
58,PF_CS_1A_LU,TR_1A_CS_GN,Single Left Docking,0,0,0,11368,0,24263,0,12895,0,0,30,49494,SSP_CS_1_D_1;SSP_CS_1_D_234;SSP_CS_1_U_12;SSP_CS_1_U_3;SSP_CS_1_U_4,0,SSP_PP_CS_1_U;SSP_PP_CS_1_D,true
59,PF_CS_2A_RD,TR_2A_CS_GN,Single Right Docking,0,0,0,11494,0,24616,0,13122,0,0,30,49625,SSP_CS_2_D_1;SSP_CS_2_D_234;SSP_CS_2_U_12;SSP_CS_2_U_3;SSP_CS_2_U_4,0,SSP_PP_CS_2_U;SSP_PP_CS_2_D,true
60,PF_NMT_1A_LU,TR_1A_CS_GN,Single Left Docking,0,0,0,85340,0,101089,0,15749,0,0,30,52180,SSP_NMT_1_U_1;SSP_NMT_1_U_2;SSP_NMT_1_U_3;SSP_NMT_1_U_4;SSP_NMT_1_D_1;SSP_NMT_1_D_2;SSP_NMT_1_D_3;SSP_NMT_1_D_4,0,SSP_PP_WPP_1_U;SSP_PP_WPP_1_D,true
61,PF_NMT_2A_RD,TR_2A_CS_GN,Single Right Docking,0,0,0,85965,0,101412,0,15447,0,0,30,51763,SSP_NMT_2_U_1;SSP_NMT_2_U_2;SSP_NMT_2_U_3;SSP_NMT_2_U_4;SSP_NMT_2_D_1;SSP_NMT_2_D_2;SSP_NMT_2_D_3;SSP_NMT_2_D_4,0,SSP_PP_WPP_2_U;SSP_PP_WPP_2_D,true
62,PF_WLP_1A_LU,TR_1A_CS_GN,Single Left Docking,0,0,0,142732,0,158217,0,15485,0,0,30,52178,SSP_WLP_5_U_1;SSP_WLP_5_U_2;SSP_WLP_5_U_3;SSP_WLP_5_U_4;SSP_WLP_5_D_1;SSP_WLP_5_D_2;SSP_WLP_5_D_3;SSP_WLP_5_D_4,0,SSP_PP_WPP_5_U;SSP_PP_WPP_5_D,true
63,PF_WLP_2A_RD,TR_2A_CS_GN,Single Right Docking,0,0,0,142410,0,157878,0,15468,0,0,30,52074,SSP_WLP_6_U_1;SSP_WLP_6_U_2;SSP_WLP_6_U_3;SSP_WLP_6_U_4;SSP_WLP_6_D_1;SSP_WLP_6_D_2;SSP_WLP_6_D_3;SSP_WLP_6_D_4,0,SSP_PP_WPP_6_U;SSP_PP_WPP_6_D,true
64,PF_WPP_1A_RU,TR_1A_CS_GN,Single Right Docking,0,0,0,212268,0,225530,0,13262,0,0,30,53291,SSP_WPP_11_U_1;SSP_WPP_11_U_2;SSP_WPP_11_U_3;SSP_WPP_11_U_4;SSP_WPP_11_D_1;SSP_WPP_11_D_2;SSP_WPP_11_D_3;SSP_WPP_11_D_4,0,SSP_PP_WPP_11_U;SSP_PP_WPP_11_D,true
65,PF_WPP_2A_LD,TR_2A_CS_GN,Single Left Docking,0,0,0,212211,0,225531,0,13320,0,0,30,53262,SSP_WPP_10_U_1;SSP_WPP_10_U_2;SSP_WPP_10_U_3;SSP_WPP_10_U_4;SSP_WPP_10_D_1;SSP_WPP_10_D_2;SSP_WPP_10_D_3;SSP_WPP_10_D_4,0,SSP_PP_WPP_10_U;SSP_PP_WPP_10_D,true
66,PF_WBS_1A_LU,TR_1A_CS_GN,Single Left Docking,0,0,0,295775,0,311254,0,15479,0,0,30,52180,SSP_WBS_17_U_1;SSP_WBS_17_U_2;SSP_WBS_17_U_3;SSP_WBS_17_U_4;SSP_WBS_17_D_1;SSP_WBS_17_D_2;SSP_WBS_17_D_3;SSP_WBS_17_D_4,0,SSP_PP_WPP_17_U;SSP_PP_WPP_17_D,true
67,PF_WBS_2A_RD,TR_2A_CS_GN,Single Right Docking,0,0,0,295769,0,311194,0,15425,0,0,30,52178,SSP_WBS_16_U_1;SSP_WBS_16_U_2;SSP_WBS_16_U_3;SSP_WBS_16_U_4;SSP_WBS_16_D_1;SSP_WBS_16_D_2;SSP_WBS_16_D_3;SSP_WBS_16_D_4,0,SSP_PP_WPP_16_U;SSP_PP_WPP_16_D,true
68,PF_ASA_1A_RU,TR_1A_CS_GN,Single Right Docking,0,0,0,389972,0,405963,0,15991,0,0,30,93328,SSP_ASA_3_U_1;SSP_ASA_3_U_2;SSP_ASA_3_U_3;SSP_ASA_3_U_4;SSP_ASA_3_D_1;SSP_ASA_3_D_2;SSP_ASA_3_D_3;SSP_ASA_3_D_4,0,SSP_PP_SLW_3_U;SSP_PP_SLW_3_D,true
69,PF_ASA_2A_LD,TR_2A_CS_GN,Single Left Docking,0,0,0,391461,0,404551,0,13090,0,0,30,93330,SSP_ASA_6_U_1;SSP_ASA_6_U_2;SSP_ASA_8_U_3;SSP_ASA_8_U_4;SSP_ASA_6_D_1;SSP_ASA_6_D_2;SSP_ASA_4_D_3;SSP_ASA_4_D_4,0,SSP_PP_SLW_8_U;SSP_PP_SLW_4_D,true
70,PF_SLW_1A_LU,TR_1A_CS_GN,Single Left Docking,0,0,0,456516,0,472012,0,15496,0,0,30,55590,SSP_SLW_7_D_1;SSP_SLW_7_D_2;SSP_SLW_7_D_3;SSP_SLW_7_D_4;SSP_SLW_7_U,0,SSP_PP_SLW_7_U;SSP_PP_SLW_7_D,true
71,PF_SLW_2A_RD,TR_2A_CS_GN,Single Right Docking,0,0,0,456338,0,471784,0,15446,0,0,30,53673,SSP_SLW_12_D_1;SSP_SLW_12_D_2;SSP_SLW_12_D_3;SSP_SLW_12_D_4;SSP_SLW_12_U,0,SSP_PP_SLW_12_U;SSP_PP_SLW_12_D,true
72,PF_SLW_3A_RU,TR_3A_SLW_ZD,Single Right Docking,0,0,0,463435,0,471982,0,8547,0,0,30,52375,SSP_SLW_15_U;SSP_SLW_15_D_1;SSP_SLW_15_D_2,0,SSP_PP_SLW_15_U;SSP_PP_SLW_15_D,true
73,PF_SLW_4A_LD,TR_4A_SLW_ZD,Single Left Docking,0,0,0,463334,0,471867,0,8533,0,0,30,52375,SSP_SLW_24_U;SSP_SLW_24_D_1;SSP_SLW_24_D_2,0,SSP_PP_SLW_24_U;SSP_PP_SLW_24_D,true
74,PF_MDW_1A_LU,TR_1A_CS_GN,Single Left Docking,0,0,0,592952,0,607817,0,14865,0,0,30,57776,SSP_MDW_7_D_1;SSP_MDW_7_D_2;SSP_MDW_7_D_3;SSP_MDW_7_D_4;SSP_MDW_7_U,0,SSP_PP_MDW_7_U;SSP_PP_MDW_7_D,true
75,PF_MDW_2A_RD,TR_2A_CS_GN,Single Right Docking,0,0,0,592026,0,606941,0,14915,0,0,30,56859,SSP_MDW_8_U;SSP_MDW_8_D_1;SSP_MDW_8_D_2;SSP_MDW_8_D_3;SSP_MDW_8_D_4,0,SSP_PP_MDW_8_U;SSP_PP_MDW_8_D,true
