ID,Name,Track_ID,PSR_Type,Direction,PSR_Speed,KpValue,KpCorrected_Trolley_Value,Train_Formation_Characteristics_ID_List
1238,PSR_3523_ND_ZD_1_SU,TR_I_3523_ZD,Safety,Up,44,0,0,0
1239,PSR_3201_ND_ZD_FD,TR_I_3201_ND,Functional,Down,25,2845,0,0
1240,PSR_3201_ND_ZD_SD,TR_I_3201_ND,Safety,Down,27,2845,0,0
1241,PSR_3203_ND_ZD_FD,TR_I_3203_ND,Functional,Down,25,2831,0,0
1242,PSR_3203_ND_ZD_SD,TR_I_3203_ND,Safety,Down,27,2831,0,0
1243,PSR_3257_ND_ZD_1_FD,TR_I_3257_CSN,Functional,Down,40,5306,7,0
1244,PSR_3257_ND_ZD_1_SD,TR_I_3257_CSN,Safety,Down,44,5306,7,0
1245,PSR_3255_ND_ZD_1_FD,TR_I_3255_CSN,Functional,Down,40,5310,-2,0
1246,PSR_3255_ND_ZD_1_SD,TR_I_3255_CSN,Safety,Down,44,5310,-2,0
1247,PSR_3503_ND_ZD_1_FD,TR_I_3503_ZD,Functional,Down,40,5700,-121,0
1248,PSR_3503_ND_ZD_1_SD,TR_I_3503_ZD,Safety,Down,44,5700,-121,0
1249,PSR_3501_ND_ZD_1_FD,TR_I_3501_ZD,Functional,Down,40,5700,-115,0
1250,PSR_3501_ND_ZD_1_SD,TR_I_3501_ZD,Safety,Down,44,5700,-115,0
1255,PSR_3313_ND_ZD_1_FD,TR_I_3313_CSN,Functional,Down,40,6066,5,0
1256,PSR_3313_ND_ZD_1_SD,TR_I_3313_CSN,Safety,Down,44,6066,5,0
1257,PSR_3309_ND_ZD_1_FD,TR_I_3309_CSN,Functional,Down,40,6064,6,0
1258,PSR_3309_ND_ZD_1_SD,TR_I_3309_CSN,Safety,Down,44,6064,6,0
1259,PSR_3521_ND_ZD_1_FD,TR_I_3521_ZD,Functional,Down,40,6100,-67,0
1260,PSR_3521_ND_ZD_1_SD,TR_I_3521_ZD,Safety,Down,44,6100,-67,0
1261,PSR_3523_ND_ZD_1_FD,TR_I_3523_ZD,Functional,Down,40,6100,-68,0
1262,PSR_3523_ND_ZD_1_SD,TR_I_3523_ZD,Safety,Down,44,6100,-68,0
1263,PSR_3273_ND_ZD_2_FD,TR_I_3273_CSN,Functional,Down,25,6474,15,0
1264,PSR_3273_ND_ZD_2_SD,TR_I_3273_CSN,Safety,Down,27,6474,15,0
1265,PSR_3423_ND_ZD_2_FD,TR_I_3423_VZG,Functional,Down,40,8300,-33,0
1266,PSR_3423_ND_ZD_2_SD,TR_I_3423_VZG,Safety,Down,44,8300,-33,0
1267,PSR_3421_ND_ZD_2_FD,TR_I_3421_VZG,Functional,Down,40,8300,88,0
1268,PSR_3421_ND_ZD_2_SD,TR_I_3421_VZG,Safety,Down,44,8300,88,0
1269,PSR_3223_ND_ZD_2_FD,TR_I_3223_ND,Functional,Down,70,20235,0,0
1270,PSR_3223_ND_ZD_2_SD,TR_I_3223_ND,Safety,Down,77,20235,0,0
1275,PSR_3225_ND_ZD_1_FD,TR_I_3225_ND,Functional,Down,70,12414,0,0
1276,PSR_3225_ND_ZD_1_SD,TR_I_3225_ND,Safety,Down,77,12414,0,0
1277,PSR_3213_ND_ZD_FU,TR_S_EOT_3213_ND,Functional,Up,25,608956,3410,0
1278,PSR_3213_ND_ZD_SU,TR_S_EOT_3213_ND,Safety,Up,27,608956,3410,0
1279,PSR_3211_ND_ZD_FU,TR_S_EOT_3211_ND,Functional,Up,25,610523,1839,0
1280,PSR_3211_ND_ZD_SU,TR_S_EOT_3211_ND,Safety,Up,27,610523,1839,0
1281,PSR_3207_ND_ZD_FU,TR_S_EOT_3207_ND,Functional,Up,25,611840,602,0
1282,PSR_3207_ND_ZD_SU,TR_S_EOT_3207_ND,Safety,Up,27,611840,602,0
1283,PSR_7A_ND_ZD_1_FU,TR_7A_ND_ZD,Functional,Up,25,619136,994,0
1284,PSR_7A_ND_ZD_1_SU,TR_7A_ND_ZD,Safety,Up,27,619136,994,0
1285,PSR_8_ND_ZD_1_SU,TR_8_ND_ZD,Safety,Up,27,624287,1017,0
1286,PSR_8_ND_ZD_1_FU,TR_8_ND_ZD,Functional,Up,25,624287,1017,0
1291,PSR_3205_ND_ZD_FU,TR_S_EOT_3205_ND,Functional,Up,25,624736,517,0
1292,PSR_3205_ND_ZD_SU,TR_S_EOT_3205_ND,Safety,Up,27,624736,517,0
1293,PSR_3205_ND_ZD_FD,TR_S_EOT_3205_ND,Functional,Down,25,641411,748,0
1294,PSR_3205_ND_ZD_SD,TR_S_EOT_3205_ND,Safety,Down,27,641411,748,0
1299,PSR_3207_ND_ZD_FD,TR_S_EOT_3207_ND,Functional,Down,25,642885,-740,0
