ID,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Curve_Radius,Real_Grade
220,TR_3B_ASW_ITW,1567373,0,1,-22
221,TR_3B_ASW_ITW,1569873,0,1,-26
222,TR_3B_ASW_ITW,1572373,0,1,-18
223,TR_3B_ASW_ITW,1574873,0,1,-17
224,TR_3B_ASW_ITW,1577373,0,1,-19
225,TR_3B_ASW_ITW,1579873,0,1,-19
226,TR_3B_ASW_ITW,1582373,0,1,-18
227,TR_3B_ASW_ITW,1584873,0,1,-16
228,TR_3B_ASW_ITW,1587373,0,1,-15
229,TR_3B_ASW_ITW,1589873,0,1,-11
230,TR_3B_ASW_ITW,1592373,0,1,-4
231,TR_3B_ASW_ITW,1594873,0,1,0
232,TR_3B_ASW_ITW,1597373,0,1,-2
233,TR_3B_ASW_ITW,1599873,0,1,-7
234,TR_3B_ASW_ITW,1602373,0,1,-22
235,TR_3B_ASW_ITW,1604873,0,1,-20
236,TR_3B_ASW_ITW,1607373,0,1,-17
237,TR_3B_ASW_ITW,1609873,0,1,-7
238,TR_3B_ASW_ITW,1613692,0,1,-6
239,TR_3B_ASW_ITW,1614336,0,1,-15
240,TR_3B_ASW_ITW,1616836,0,1,-20
241,TR_3B_ASW_ITW,1619336,0,1,-19
242,TR_3B_ASW_ITW,1621836,0,1,-2
243,TR_3B_ASW_ITW,1624336,0,1,3
244,TR_3B_ASW_ITW,1626836,0,1,9
245,TR_3B_ASW_ITW,1629336,0,1,-5
246,TR_3B_ASW_ITW,1631836,0,1,-7
247,TR_3B_ASW_ITW,1634336,0,1,-9
248,TR_3B_ASW_ITW,1636836,0,1,-5
249,TR_3B_ASW_ITW,1639336,0,1,-5
250,TR_3B_ASW_ITW,1641836,0,1,-9
251,TR_3B_ASW_ITW,1644336,0,1,-16
252,TR_3B_ASW_ITW,1646836,0,1,-20
253,TR_3B_ASW_ITW,1649336,0,1,-22
254,TR_3B_ASW_ITW,1651836,0,1,-19
255,TR_3B_ASW_ITW,1654336,0,1,-18
256,TR_3B_ASW_ITW,1656836,0,1,-11
257,TR_3B_ASW_ITW,1659336,0,1,-7
258,TR_3B_ASW_ITW,1661836,0,1,-7
259,TR_3B_ASW_ITW,1664336,0,1,-18
260,TR_3B_ASW_ITW,1666836,0,1,-27
261,TR_3B_ASW_ITW,1669336,0,1,-27
262,TR_3B_ASW_ITW,1671836,0,1,-19
263,TR_3B_ASW_ITW,1674336,0,1,-7
264,TR_3B_ASW_ITW,1676836,0,1,8
265,TR_3B_ASW_ITW,1679336,0,1,31
266,TR_3B_ASW_ITW,1681836,0,1,54
267,TR_3B_ASW_ITW,1684336,0,1,75
268,TR_3B_ASW_ITW,1686836,0,1,88
269,TR_3B_ASW_ITW,1689336,0,1,96
270,TR_3B_ASW_ITW,1691836,0,1,96
271,TR_3B_ASW_ITW,1694336,0,1,93
272,TR_3B_ASW_ITW,1696836,0,1,89
273,TR_3B_ASW_ITW,1699336,0,1,88
274,TR_3B_ASW_ITW,1701836,0,1,87
275,TR_3B_ASW_ITW,1705071,0,1,86
276,TR_3B_ASW_ITW,1707571,0,1,78
277,TR_3B_ASW_ITW,1710585,0,1,68
278,TR_3B_ASW_ITW,1713085,0,1,52
279,TR_3B_ASW_ITW,1715585,0,1,33
280,TR_3B_ASW_ITW,1718085,0,1,13
281,TR_3B_ASW_ITW,1720585,0,1,-3
282,TR_3B_ASW_ITW,1723085,0,1,-11
283,TR_3B_ASW_ITW,1725585,0,1,-15
284,TR_3B_ASW_ITW,1728085,0,1,-14
285,TR_3B_ASW_ITW,1730585,0,1,-14
286,TR_3B_ASW_ITW,1733085,0,1,-13
287,TR_3B_ASW_ITW,1735585,0,1,-16
288,TR_3B_ASW_ITW,1738085,0,1,-14
289,TR_3B_ASW_ITW,1740585,0,1,-15
290,TR_3B_ASW_ITW,1743085,0,1,-10
291,TR_3B_ASW_ITW,1745585,0,1,-11
292,TR_3B_ASW_ITW,1748085,0,1,-9
293,TR_3B_ASW_ITW,1750585,0,1,-6
294,TR_3B_ASW_ITW,1753085,0,1,0
295,TR_3B_ASW_ITW,1755585,0,1,4
296,TR_3B_ASW_ITW,1758085,0,1,2
297,TR_3B_ASW_ITW,1760585,0,1,-2
298,TR_3B_ASW_ITW,1763085,0,1,-16
299,TR_3B_ASW_ITW,1765585,0,1,-37
300,TR_3B_ASW_ITW,1768085,0,1,-66
301,TR_3B_ASW_ITW,1770585,0,1,-100
302,TR_3B_ASW_ITW,1773085,0,1,-134
303,TR_3B_ASW_ITW,1775585,0,1,-163
304,TR_3B_ASW_ITW,1778085,0,1,-184
305,TR_3B_ASW_ITW,1780585,0,1,-193
306,TR_3B_ASW_ITW,1783085,0,1,-197
307,TR_3B_ASW_ITW,1785585,0,1,-205
308,TR_3B_ASW_ITW,1788085,0,1,-206
309,TR_3B_ASW_ITW,1790585,0,1,-209
310,TR_3B_ASW_ITW,1793085,0,1,-201
311,TR_3B_ASW_ITW,1795585,0,1,-198
312,TR_3B_ASW_ITW,1798085,0,1,-193
313,TR_3B_ASW_ITW,1800585,0,1,-185
314,TR_3B_ASW_ITW,1803085,0,1,-178
315,TR_3B_ASW_ITW,1805585,0,1,-173
316,TR_3B_ASW_ITW,1808085,0,1,-173
317,TR_3B_ASW_ITW,1810585,0,1,-178
318,TR_3B_ASW_ITW,1813085,0,1,-192
319,TR_3B_ASW_ITW,1815585,0,1,-201
320,TR_3B_ASW_ITW,1818085,0,1,-186
321,TR_3B_ASW_ITW,1820585,0,1,-147
322,TR_3B_ASW_ITW,1823085,0,1,-96
323,TR_3B_ASW_ITW,1825585,0,1,-62
324,TR_3B_ASW_ITW,1828085,0,1,-43
325,TR_3B_ASW_ITW,1830585,0,1,-33
326,TR_3B_ASW_ITW,1833085,0,1,3
327,TR_3B_ASW_ITW,1835585,0,1,77
328,TR_3B_ASW_ITW,1838085,0,1,160
329,TR_3B_ASW_ITW,1840585,0,1,222
330,TR_3B_ASW_ITW,1843085,0,1,248
331,TR_3B_ASW_ITW,1845585,0,1,246
332,TR_3B_ASW_ITW,1847597,0,1,243
333,TR_3B_ASW_ITW,1849944,0,1,243
334,TR_3B_ASW_ITW,1852444,0,1,211
335,TR_3B_ASW_ITW,1854944,0,1,151
336,TR_3B_ASW_ITW,1857444,0,1,68
337,TR_3B_ASW_ITW,1859944,0,1,15
338,TR_3B_ASW_ITW,1862444,0,1,-1
339,TR_3B_ASW_ITW,1864944,0,1,0
340,TR_3B_ASW_ITW,1867444,0,1,7
341,TR_3B_ASW_ITW,1869944,0,1,0
342,TR_3B_ASW_ITW,1872444,0,1,-1
343,TR_3B_ASW_ITW,1874944,0,1,-13
349,TR_4B_ASW_ITW,1025964,5,1,-8
350,TR_4B_ASW_ITW,1027574,0,1,-7
351,TR_4B_ASW_ITW,1030074,0,1,-5
352,TR_4B_ASW_ITW,1032574,0,1,-2
353,TR_4B_ASW_ITW,1035272,0,1,-3
354,TR_4B_ASW_ITW,1037772,0,1,-3
355,TR_4B_ASW_ITW,1040272,0,1,-6
356,TR_4B_ASW_ITW,1042772,0,1,-6
357,TR_4B_ASW_ITW,1045272,0,1,-5
358,TR_4B_ASW_ITW,1047772,0,1,0
359,TR_4B_ASW_ITW,1050272,0,1,14
360,TR_4B_ASW_ITW,1052772,0,1,25
361,TR_4B_ASW_ITW,1055272,0,1,35
362,TR_4B_ASW_ITW,1057772,0,1,39
363,TR_4B_ASW_ITW,1060272,0,1,41
364,TR_4B_ASW_ITW,1062772,0,1,45
365,TR_4B_ASW_ITW,1065272,0,1,47
366,TR_4B_ASW_ITW,1067772,0,1,47
367,TR_4B_ASW_ITW,1070272,0,1,45
368,TR_4B_ASW_ITW,1072212,0,1,37
369,TR_4B_ASW_ITW,1074712,0,1,39
370,TR_4B_ASW_ITW,1077399,0,1,39
371,TR_4B_ASW_ITW,1079899,0,1,43
372,TR_4B_ASW_ITW,1082399,0,1,40
373,TR_4B_ASW_ITW,1084899,0,1,30
374,TR_4B_ASW_ITW,1087399,0,1,17
375,TR_4B_ASW_ITW,1089899,0,1,5
376,TR_4B_ASW_ITW,1092399,0,1,-4
377,TR_4B_ASW_ITW,1094899,0,1,-9
378,TR_4B_ASW_ITW,1097399,0,1,-10
379,TR_4B_ASW_ITW,1099899,0,1,-5
380,TR_4B_ASW_ITW,1102399,0,1,-2
381,TR_4B_ASW_ITW,1104899,0,1,0
382,TR_4B_ASW_ITW,1107399,0,1,-3
383,TR_4B_ASW_ITW,1109899,0,1,-3
384,TR_4B_ASW_ITW,1112399,0,1,-1
385,TR_4B_ASW_ITW,1114899,0,1,-1
386,TR_4B_ASW_ITW,1117399,0,1,1
387,TR_4B_ASW_ITW,1119899,0,1,-2
388,TR_4B_ASW_ITW,1122399,0,1,-1
389,TR_4B_ASW_ITW,1124899,0,1,-1
390,TR_4B_ASW_ITW,1127399,0,1,-4
391,TR_4B_ASW_ITW,1129899,0,1,-10
392,TR_4B_ASW_ITW,1132399,0,1,-16
393,TR_4B_ASW_ITW,1134899,0,1,-21
394,TR_4B_ASW_ITW,1137399,0,1,-23
395,TR_4B_ASW_ITW,1139899,0,1,-22
396,TR_4B_ASW_ITW,1142399,0,1,-19
397,TR_4B_ASW_ITW,1144899,0,1,-13
398,TR_4B_ASW_ITW,1147399,0,1,0
399,TR_4B_ASW_ITW,1149899,0,1,28
400,TR_4B_ASW_ITW,1152399,0,1,67
401,TR_4B_ASW_ITW,1154899,0,1,101
402,TR_4B_ASW_ITW,1157399,0,1,117
403,TR_4B_ASW_ITW,1159899,0,1,117
404,TR_4B_ASW_ITW,1162399,0,1,110
405,TR_4B_ASW_ITW,1164899,0,1,87
406,TR_4B_ASW_ITW,1167399,0,1,50
407,TR_4B_ASW_ITW,1169899,0,1,14
408,TR_4B_ASW_ITW,1172399,0,1,-10
409,TR_4B_ASW_ITW,1174899,0,1,-11
410,TR_4B_ASW_ITW,1177399,0,1,-11
411,TR_4B_ASW_ITW,1179899,0,1,-16
412,TR_4B_ASW_ITW,1182399,0,1,-38
413,TR_4B_ASW_ITW,1184899,0,1,-65
414,TR_4B_ASW_ITW,1187399,0,1,-90
415,TR_4B_ASW_ITW,1189899,0,1,-105
416,TR_4B_ASW_ITW,1192399,0,1,-111
417,TR_4B_ASW_ITW,1194899,0,1,-118
418,TR_4B_ASW_ITW,1197399,0,1,-119
419,TR_4B_ASW_ITW,1199899,0,1,-118
420,TR_4B_ASW_ITW,1202399,0,1,-118
421,TR_4B_ASW_ITW,1204899,0,1,-118
422,TR_4B_ASW_ITW,1207399,0,1,-119
423,TR_4B_ASW_ITW,1209899,0,1,-118
424,TR_4B_ASW_ITW,1212399,0,1,-114
425,TR_4B_ASW_ITW,1214899,0,1,-114
426,TR_4B_ASW_ITW,1217399,0,1,-114
427,TR_4B_ASW_ITW,1219899,0,1,-111
428,TR_4B_ASW_ITW,1222399,0,1,-108
429,TR_4B_ASW_ITW,1224899,0,1,-102
430,TR_4B_ASW_ITW,1227399,0,1,-94
431,TR_4B_ASW_ITW,1229899,0,1,-73
432,TR_4B_ASW_ITW,1232399,0,1,-45
433,TR_4B_ASW_ITW,1234899,0,1,-21
434,TR_4B_ASW_ITW,1237399,0,1,-12
435,TR_4B_ASW_ITW,1239899,0,1,-12
436,TR_4B_ASW_ITW,1242399,0,1,-8
437,TR_4B_ASW_ITW,1244899,0,1,-2
438,TR_4B_ASW_ITW,1247399,0,1,2
439,TR_4B_ASW_ITW,1249899,0,1,-2
440,TR_4B_ASW_ITW,1252399,0,1,-4
441,TR_4B_ASW_ITW,1254899,0,1,-4
442,TR_4B_ASW_ITW,1257399,0,1,-6
443,TR_4B_ASW_ITW,1259899,0,1,-10
444,TR_4B_ASW_ITW,1262399,0,1,-10
445,TR_4B_ASW_ITW,1264899,0,1,-11
446,TR_4B_ASW_ITW,1267399,0,1,-5
447,TR_4B_ASW_ITW,1269899,0,1,-5
448,TR_4B_ASW_ITW,1272399,0,1,-7
449,TR_4B_ASW_ITW,1274899,0,1,-8
450,TR_4B_ASW_ITW,1277399,0,1,-10
451,TR_4B_ASW_ITW,1279899,0,1,-9
452,TR_4B_ASW_ITW,1282399,0,1,-6
453,TR_4B_ASW_ITW,1284899,0,1,-6
454,TR_4B_ASW_ITW,1287399,0,1,-6
455,TR_4B_ASW_ITW,1289899,0,1,-6
456,TR_4B_ASW_ITW,1292399,0,1,-8
457,TR_4B_ASW_ITW,1295931,0,1,-10
458,TR_4B_ASW_ITW,1296575,0,1,-12
459,TR_4B_ASW_ITW,1299075,0,1,-9
460,TR_4B_ASW_ITW,1301575,0,1,-8
461,TR_4B_ASW_ITW,1304075,0,1,-6
462,TR_4B_ASW_ITW,1306575,0,1,-5
463,TR_4B_ASW_ITW,1309075,0,1,-3
464,TR_4B_ASW_ITW,1311575,0,1,-1
465,TR_4B_ASW_ITW,1314075,0,1,-2
466,TR_4B_ASW_ITW,1316575,0,1,-2
467,TR_4B_ASW_ITW,1319075,0,1,-2
468,TR_4B_ASW_ITW,1321575,0,1,0
469,TR_4B_ASW_ITW,1324075,0,1,0
470,TR_4B_ASW_ITW,1326575,0,1,-3
471,TR_4B_ASW_ITW,1329075,0,1,-6
472,TR_4B_ASW_ITW,1331575,0,1,-7
473,TR_4B_ASW_ITW,1334075,0,1,-7
474,TR_4B_ASW_ITW,1336575,0,1,-4
475,TR_4B_ASW_ITW,1339075,0,1,-4
476,TR_4B_ASW_ITW,1341575,0,1,-3
477,TR_4B_ASW_ITW,1344075,0,1,0
478,TR_4B_ASW_ITW,1346575,0,1,1
479,TR_4B_ASW_ITW,1349075,0,1,1
480,TR_4B_ASW_ITW,1351575,0,1,-3
481,TR_4B_ASW_ITW,1354075,0,1,-3
482,TR_4B_ASW_ITW,1356575,0,1,-5
483,TR_4B_ASW_ITW,1359075,0,1,-5
484,TR_4B_ASW_ITW,1361575,0,1,-2
485,TR_4B_ASW_ITW,1364075,0,1,3
486,TR_4B_ASW_ITW,1366575,0,1,9
487,TR_4B_ASW_ITW,1369075,0,1,11
488,TR_4B_ASW_ITW,1371575,0,1,11
489,TR_4B_ASW_ITW,1374075,0,1,5
490,TR_4B_ASW_ITW,1376575,0,1,-2
491,TR_4B_ASW_ITW,1379075,0,1,-8
492,TR_4B_ASW_ITW,1381575,0,1,-9
493,TR_4B_ASW_ITW,1384075,0,1,-9
494,TR_4B_ASW_ITW,1386575,0,1,-9
495,TR_4B_ASW_ITW,1389075,0,1,-9
496,TR_4B_ASW_ITW,1391575,0,1,-9
497,TR_4B_ASW_ITW,1394075,0,1,-9
498,TR_4B_ASW_ITW,1396575,0,1,-10
499,TR_4B_ASW_ITW,1399075,0,1,-12
500,TR_4B_ASW_ITW,1401575,0,1,-14
501,TR_4B_ASW_ITW,1404075,0,1,-14
502,TR_4B_ASW_ITW,1406575,0,1,-14
503,TR_4B_ASW_ITW,1409075,0,1,-11
504,TR_4B_ASW_ITW,1411575,0,1,-11
505,TR_4B_ASW_ITW,1414075,0,1,-14
506,TR_4B_ASW_ITW,1416907,0,1,-16
507,TR_4B_ASW_ITW,1419407,0,1,-12
508,TR_4B_ASW_ITW,1421907,0,1,-2
509,TR_4B_ASW_ITW,1424407,0,1,3
510,TR_4B_ASW_ITW,1426907,0,1,3
511,TR_4B_ASW_ITW,1429407,0,1,2
512,TR_4B_ASW_ITW,1431907,0,1,0
513,TR_4B_ASW_ITW,1434407,0,1,-3
514,TR_4B_ASW_ITW,1436907,0,1,-4
515,TR_4B_ASW_ITW,1439407,0,1,-2
516,TR_4B_ASW_ITW,1441907,0,1,3
517,TR_4B_ASW_ITW,1444407,0,1,4
518,TR_4B_ASW_ITW,1446907,0,1,1
519,TR_4B_ASW_ITW,1449405,0,1,-6
520,TR_4B_ASW_ITW,1451905,0,1,-14
