ID,Name,Basic_Multitrack_Zone_ID_List,Critical,Technical_Room_ID,Give_Take_Isolation_Zone_Characteristics_ID,SPKS_ID,Switch_Normal_ID_List,Switch_Reverse_ID_List,Signal_ID_List,Route_ID_List
1029,GTIZ_NZ_W_53,BMZ_NZ_1_53;BMZ_NZ_1_55,Not Critical,TCR_VZG_M_8_R,GTIZC_WZ,0,0,0,SI_3_U_VZG;SI_3_D_VZG,R_6_VZG_1_VZG;R_6_VZG_1_VZG_C;R_2_VZG_5_VZG;R_2_VZG_5_VZG_C
1030,GTIZ_NZ_W_61,BMZ_NZ_1_61,Not Critical,TCR_VZG_M_8_R,GTIZC_WZ,0,0,0,0,R_1_VZG_5_VZG;R_9_VZG_5_VZG;R_2_VZG_5_VZG;R_1_VZG_5_VZG_C;R_9_VZG_5_VZG_C;R_2_VZG_5_VZG_C
1031,GTIZ_NZ_W_71,BMZ_NZ_1_63;BMZ_NZ_1_71,Not Critical,TCR_VZG_M_8_R,GTIZC_WZ,0,0,0,SI_7_U_VZG,R_45_ZD_9_VZG;R_34_ZD_9_VZG;R_45_ZD_9_VZG_C;R_34_ZD_9_VZG_C
1032,GTIZ_NZ_W_50,BMZ_NZ_2_50;BMZ_NZ_2_52;BMZ_NZ_2_54,Not Critical,TCR_VZG_M_8_R,GTIZC_WZ,0,0,0,SI_4_D_VZG,R_5_VZG_2_VZG;R_5_VZG_2_VZG_C;R_1_VZG_6_VZG;R_1_VZG_6_VZG_C;R_14_CSN_2_VZG;R_14_CSN_2_VZG_C;R_15_CSN_2_VZG;R_15_CSN_2_VZG_C
1033,GTIZ_NZ_W_60,BMZ_NZ_2_60,Not Critical,TCR_VZG_M_8_R,GTIZC_WZ,0,0,0,SI_8_D_VZG,R_1_VZG_6_VZG;R_2_VZG_6_VZG;R_1_VZG_6_VZG_C;R_2_VZG_6_VZG_C
1034,GTIZ_NZ_W_62,BMZ_NZ_2_62,Not Critical,TCR_VZG_M_8_R,GTIZC_WZ,0,0,0,SI_8_U_VZG;SI_8_D_VZG,0
1035,GTIZ_NZ_W_70,BMZ_NZ_2_70;BMZ_NZ_2_72;BMZ_NZ_2_74,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,SI_8_U_VZG;SI_32_D_ZD,R_45_ZD_10_VZG;R_45_ZD_10_VZG_C;R_9_VZG_34_ZD;R_9_VZG_34_ZD_C
1036,GTIZ_NZ_W_73,BMZ_NZ_1_73;BMZ_NZ_1_75,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,SI_43_U_ZD;SI_43_D_ZD,R_34_ZD_9_VZG;R_34_ZD_9_VZG_C;R_10_VZG_45_ZD;R_10_VZG_45_ZD_C
1037,GTIZ_NZ_W_81,BMZ_NZ_1_81,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,0,R_9_VZG_45_ZD;R_10_VZG_45_ZD;R_9_VZG_45_ZD_C;R_10_VZG_45_ZD_C;R_49_ZD_45_ZD;R_49_ZD_45_ZD_C;R_38_ZD_45_ZD;R_38_ZD_45_ZD_C
1038,GTIZ_NZ_W_83,BMZ_NZ_1_83,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,SI_45A_U_ZD,R_49_ZD_45_ZD;R_49_ZD_45_ZD_C;R_38_ZD_45_ZD;R_38_ZD_45_ZD_C
