ID,Name,Type,Direction,Physical,Physical_Object_To_Measure,Choice_Selection_KP_Selection_Offset,Selection_KPTrack_ID,Selection_KPKpValue,Selection_KPKpCorrected_Trolley_Value,Selection_OffsetObject_Type,Selection_OffsetObject_ID,Selection_OffsetKP_Type,Selection_OffsetOffset
1024,PSB_6_3279_CSN_30,Generic,Both,false,None,Selection_KP,TR_I_3273_CSN,6474,15,None,0,None,0
1025,PSB_17_3309A_CSN_43,Generic,Both,false,None,Selection_KP,TR_I_3309_CSN,0,0,None,0,None,0
1026,PSB_16_3313A_CSN_42,Generic,Both,false,None,Selection_KP,TR_I_3313_CSN,0,0,None,0,None,0
1027,PSB_17_3313B_CSN_43,Generic,Both,false,None,Selection_KP,TR_I_3313_CSN,6066,5,None,0,None,0
1028,PSB_16_3309B_CSN_42,Generic,Both,false,None,Selection_KP,TR_I_3309_CSN,6064,6,None,0,None,0
1029,PSB_3_3421A_VZG_55,Generic,Both,false,None,Selection_KP,TR_I_3421_VZG,0,0,None,0,None,0
1030,PSB_4_3423A_VZG_54,Generic,Both,false,None,Selection_KP,TR_I_3423_VZG,0,0,None,0,None,0
1031,PSB_3_3423B_VZG_55,Generic,Both,false,None,Selection_KP,TR_I_3423_VZG,8300,-33,None,0,None,0
1032,PSB_4_3421B_VZG_54,Generic,Both,false,None,Selection_KP,TR_I_3421_VZG,8300,88,None,0,None,0
1033,PSB_7_VZG_63,Generic,Both,true,Trackzones_boundaries_63_71,Selection_KP,TR_7A_ND_ZD,1296900,0,None,0,None,0
1037,PSB_43_3501A_ZD_75,Generic,Both,false,None,Selection_KP,TR_I_3501_ZD,0,0,None,0,None,0
1038,PSB_32_3503A_ZD_74,Generic,Both,false,None,Selection_KP,TR_I_3503_ZD,0,0,None,0,None,0
1039,PSB_43_3503B_ZD_75,Generic,Both,false,None,Selection_KP,TR_I_3503_ZD,5700,-121,None,0,None,0
1040,PSB_32_3501B_ZD_74,Generic,Both,false,None,Selection_KP,TR_I_3501_ZD,5700,-115,None,0,None,0
1041,PSB_W_83_85,Generic,Both,true,Workzones_boundaries_83_85,Selection_KP,TR_7A_ND_ZD,1504700,13807,None,0,None,0
1042,PSB_W_82_84,Generic,Both,true,Workzones_boundaries_82_84,Selection_KP,TR_8_ND_ZD,1504700,13177,None,0,None,0
1043,PSB_47_3521A_ZD_87,Generic,Both,false,None,Selection_KP,TR_I_3521_ZD,0,0,None,0,None,0
1044,PSB_36_3523A_ZD_86,Generic,Both,false,None,Selection_KP,TR_I_3523_ZD,0,0,None,0,None,0
1045,PSB_47_3523B_ZD_87,Generic,Both,false,None,Selection_KP,TR_I_3523_ZD,6100,-68,None,0,None,0
1046,PSB_36_3521B_ZD_86,Generic,Both,false,None,Selection_KP,TR_I_3521_ZD,6100,-67,None,0,None,0
1047,PSB_53_3531_ZD_93,Generic,Both,false,None,Selection_KP,TR_8_ND_ZD,1573500,150,None,0,None,0
1048,PSB_W_13_21,Generic,Both,true,Workzones_boundaries_13_21,Selection_KP,TR_7A_ND_ZD,822000,72,None,0,None,0
1049,PSB_W_14_20,Generic,Both,true,Workzones_boundaries_14_20,Selection_KP,TR_8_ND_ZD,822000,-164,None,0,None,0
1051,PSB_W_24_30,Generic,Both,true,Workzones_boundaries_24_30,Selection_KP,TR_8_ND_ZD,935400,0,None,0,None,0
1053,PSB_W_71_73,Generic,Both,true,Workzones_boundaries_71_73,Selection_KP,TR_7A_ND_ZD,1317571,0,None,0,None,0
1054,PSB_7_ND_11,Generic,Both,false,None,Selection_KP,TR_7A_ND_ZD,659400,500,None,0,None,0
1055,PSB_1_CSN_21_1,Generic,Both,true,None,Selection_KP,TR_7A_ND_ZD,833373,0,None,0,None,0
1056,PSB_1_CSN_21_2,Generic,Both,true,None,Selection_KP,TR_7A_ND_ZD,848368,0,None,0,None,0
1057,PSB_2_CSN_20,Generic,Both,true,None,Selection_KP,TR_8_ND_ZD,833354,0,None,0,None,0
2001,PSB_4_203A_CS_12,Generic,Both,false,None,Selection_KP,TR_I_203_CS,0,0,None,0,None,0
2002,PSB_4_201B_CS_12,Generic,Both,false,None,Selection_KP,TR_I_201_CS,9536,0,None,0,None,0
2003,PSB_3_201A_CS_13,Generic,Both,false,None,Selection_KP,TR_I_201_CS,0,0,None,0,None,0
2004,PSB_3_203B_CS_13,Generic,Both,false,None,Selection_KP,TR_I_203_CS,9521,0,None,0,None,0
2005,PSB_7_235A_WPP_35,Generic,Both,false,None,Selection_KP,TR_I_235_WPP,0,0,None,0,None,0
2006,PSB_101_235B_WPP_34,Generic,Both,false,None,Selection_KP,TR_I_235_WPP,5486,0,None,0,None,0
2007,PSB_101_237A_WPP_34,Generic,Both,false,None,Selection_KP,TR_I_237_WPP,0,0,None,0,None,0
2008,PSB_7_237B_WPP_35,Generic,Both,false,None,Selection_KP,TR_I_237_WPP,6381,0,None,0,None,0
2009,PSB_8_239_WPP_32,Generic,Both,false,None,Selection_KP,TR_S_EOT_239_WPP,210606,0,None,0,None,0
2010,PSB_15_245A_WPP_45,Generic,Both,false,None,Selection_KP,TR_I_245_WPP,0,0,None,0,None,0
2011,PSB_14_245B_WPP_44,Generic,Both,false,None,Selection_KP,TR_I_245_WPP,5683,0,None,0,None,0
2012,PSB_14_247A_WPP_44,Generic,Both,false,None,Selection_KP,TR_I_247_WPP,0,0,None,0,None,0
2013,PSB_15_247B_WPP_45,Generic,Both,false,None,Selection_KP,TR_I_247_WPP,5214,0,None,0,None,0
2014,PSB_1A_261A_SLW_57,Generic,Both,false,None,Selection_KP,TR_I_261_SLW,0,0,None,0,None,0
2015,PSB_2A_261B_SLW_54,Generic,Both,false,None,Selection_KP,TR_I_261_SLW,6477,0,None,0,None,0
2016,PSB_2A_263A_SLW_54,Generic,Both,false,None,Selection_KP,TR_I_263_SLW,0,0,None,0,None,0
2017,PSB_1A_263B_SLW_57,Generic,Both,false,None,Selection_KP,TR_I_263_SLW,6480,0,None,0,None,0
2018,PSB_CT_W_20_22,Generic,Both,true,Workzones_boundaries_20_22,Selection_KP,TR_2A_CS_GN,105700,0,None,0,None,0
2019,PSB_W_22_32,Generic,Both,true,Workzones_boundaries_22_32,Selection_KP,TR_2A_CS_GN,167100,0,None,0,None,0
2020,PSB_CT_W_40_42,Generic,Both,true,Workzones_boundaries_40_42,Selection_KP,TR_2A_CS_GN,228800,0,None,0,None,0
2021,PSB_CT_W_50_54,Generic,Both,true,Workzones_boundaries_50_54,Selection_KP,TR_2A_CS_GN,367200,0,None,0,None,0
2022,PSB_CT_W_21_31,Generic,Both,true,Workzones_boundaries_21_31,Selection_KP,TR_1A_CS_GN,104600,0,None,0,None,0
2023,PSB_5_WPP_31,Generic,Both,true,Trackzones_boundaries_31_33,Selection_KP,TR_1A_CS_GN,166800,0,None,0,None,0
2024,PSB_CT_W_51_55,Generic,Both,true,Workzones_boundaries_51_55,Selection_KP,TR_1A_CS_GN,366200,0,None,0,None,0
2025,PSB_7_611A_SVT_35,Generic,Both,false,None,Selection_KP,TR_I_611_SVT,0,0,None,0,None,0
2026,PSB_7_613B_SVT_35,Generic,Both,false,None,Selection_KP,TR_I_613_SVT,17484,0,None,0,None,0
2027,PSB_8_613A_SVT_34,Generic,Both,false,None,Selection_KP,TR_I_613_SVT,0,0,None,0,None,0
