ID,Name,Safety_Derogation,Overlap_Type,Overlap_MASC,For_CBTC_Train,Response_To_Restrictive_Binary_Delay_BM,ATC_Overlap_Timer,Additional_CBI_Time,D_Overlap,D_Overlap_CBI,Strike_In_Distance,Overlap_Switch_ID_List,Overlap_Release_BM_SDD_ID_List,Berth_Distance,Berth_Route_ID_List
2118,O_SI_1A_D_SLW,true,CBI Preferred Normal,true,true,0,82000,117000,2300,4400,766,SW_SLW_263,0,7745,R_7_SLW_3_SLW;R_15_SLW_3_SLW
2119,O_SI_5_U_SLW,true,Not Interlocked,false,true,0,82000,117000,2400,0,0,0,0,0,0
2120,O_SI_9_U_SLW,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2122,O_SI_3_U_SVT,true,Not Interlocked,false,true,0,82000,117000,3700,0,0,0,0,0,0
2123,O_SI_3_D_SVT,true,Not Interlocked,false,true,0,82000,117000,2300,0,0,0,0,0,0
2124,O_SI_7_U_SVT,true,Not Interlocked,false,true,0,82000,117000,2500,0,0,0,0,0,0
2125,O_SI_7_D_SVT,true,Not Interlocked,false,true,0,82000,117000,2600,0,0,0,0,0,0
2126,O_SI_3_U_BLW,true,Not Interlocked,false,true,0,82000,117000,2600,0,0,0,0,0,0
2127,O_SI_3_D_BLW,true,Not Interlocked,false,true,0,82000,117000,2600,0,0,0,0,0,0
2129,O_SI_11_D_BLW,true,Not Interlocked,false,true,0,82000,117000,2600,0,0,0,0,0,0
2130,O_SI_3_U_GN,true,Not Interlocked,false,true,0,82000,117000,2600,0,0,0,0,0,0
2131,O_SI_3_D_GN,true,Not Interlocked,false,true,0,82000,117000,2800,0,0,0,0,0,0
2132,O_SI_7A_U_GN,true,Not Interlocked,false,true,0,82000,117000,3700,0,0,0,0,0,0
2135,O_SI_3_U_DMZ,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2136,O_SI_3_D_DMZ,true,Not Interlocked,false,true,0,82000,117000,2300,0,0,0,0,0,0
2138,O_SI_11_U_DMZ,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2139,O_SI_3_U_GPP,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2140,O_SI_3_D_GPP,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2141,O_SI_7A_U_GPP,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2143,O_SI_11_U_GPP,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2144,O_SI_4_U_DMZ,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2145,O_SI_4_D_DMZ,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2146,O_SI_12_U_DMZ,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2147,O_SI_4_U_GPP,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2148,O_SI_4_D_GPP,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2149,O_SI_2_U_SLW,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2150,O_SI_12_U_GN,true,Not Interlocked,false,true,0,82000,117000,3700,0,0,0,0,0,0
2151,O_SI_12_U_GPP,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
