ID,Name,Track_ID,KpValue,KpCorrected_Trolley_Value,SSP_Characteristics_ID,Train_Formation_Characteristics_ID_List,Accuracy_Required,Direction,Secondary_stopping_type,D_Min_Secondary_Piloting,D_Max_Secondary_Piloting
2296,SSP_KEN_5_D_1,TR_5E_DMZ_GPP,941456,-28,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Down,false,0,0
2297,SSP_KEN_5_D_2,TR_5E_DMZ_GPP,939908,-16,SSPC_ALL,TRFC_S1S2_2;TRFC_S3M4_2,Strategy_1,Down,false,0,0
2298,SSP_KEN_5_D_3,TR_5E_DMZ_GPP,938360,4,SSPC_ALL,TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
2299,SSP_KEN_5_D_4,TR_5E_DMZ_GPP,936811,-16,SSPC_ALL,TRFC_S1S2_4;TRFC_S3M4_4;TRFC_M5M6,Strategy_1,Down,false,0,0
2300,SSP_KEN_8_U_1,TR_6E_DMZ_GPP,945600,2,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
2301,SSP_KEN_8_U_2,TR_6E_DMZ_GPP,947149,-8,SSPC_ALL,TRFC_S1S2_2;TRFC_S3M4_2,Strategy_1,Up,false,0,0
2302,SSP_KEN_10_U_3,TR_6E_DMZ_GPP,948697,-16,SSPC_ALL,TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Up,false,0,0
2303,SSP_KEN_10_U_4,TR_6E_DMZ_GPP,950245,-24,SSPC_ALL,TRFC_S1S2_4;TRFC_S3M4_4;TRFC_M5M6,Strategy_1,Up,false,0,0
2304,SSP_KEN_8_D_1,TR_6E_DMZ_GPP,942529,-41,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Down,false,0,0
2305,SSP_KEN_8_D_2,TR_6E_DMZ_GPP,940980,-32,SSPC_ALL,TRFC_S1S2_2;TRFC_S3M4_2,Strategy_1,Down,false,0,0
2306,SSP_KEN_6_D_3,TR_6E_DMZ_GPP,939432,-36,SSPC_ALL,TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
2307,SSP_KEN_6_D_4,TR_6E_DMZ_GPP,937884,-17,SSPC_ALL,TRFC_S1S2_4;TRFC_S3M4_4;TRFC_M5M6,Strategy_1,Down,false,0,0
2308,SSP_GPP_9_D_1,TR_5E_DMZ_GPP,1015972,58,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Down,false,0,0
2309,SSP_GPP_9_D_2,TR_5E_DMZ_GPP,1012875,14,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Down,false,0,0
2310,SSP_GPP_9_D_3,TR_5E_DMZ_GPP,1009816,4,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
2311,SSP_GPP_9_D_4,TR_5E_DMZ_GPP,1006719,-43,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Down,false,0,0
2312,SSP_GPP_9_U,TR_5E_DMZ_GPP,1019092,0,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2314,SSP_GPP_16_D_1,TR_6E_DMZ_GPP,1017102,45,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Down,false,0,0
2315,SSP_GPP_16_D_2,TR_6E_DMZ_GPP,1014005,-6,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
2316,SSP_GPP_16_D_3,TR_6E_DMZ_GPP,1010929,-6,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Down,false,0,0
2317,SSP_GPP_16_D_4,TR_6E_DMZ_GPP,1007784,-4,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Down,false,0,0
2318,SSP_WPP_100A_D,TR_S_EOT_239_WPP,181296,80,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Down,false,0,0
2319,SSP_WPP_100B_D,TR_S_EOT_239_WPP,184530,58,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
2320,SSP_WPP_100C_D,TR_S_EOT_239_WPP,187656,70,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2,Strategy_1,Down,false,0,0
2321,SSP_SLW_100A_D,TR_S_EOT_309_SLW,447229,-18,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Down,false,0,0
2322,SSP_SLW_100B_D,TR_S_EOT_309_SLW,450776,-5,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Down,false,0,0
2323,SSP_BLW_101A_U,TR_S_627_EOT_BLW,929392,-50,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
2324,SSP_BLW_101B_U,TR_S_627_EOT_BLW,932592,13,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Up,false,0,0
2325,SSP_BLW_101C_U,TR_S_627_EOT_BLW,935792,10,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Strategy_1,Up,false,0,0
2326,SSP_BLW_101D_U,TR_S_627_EOT_BLW,939042,1793,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2327,SSP_GN_100A_U,TR_S_671_EOT_GN,1263126,22,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
2328,SSP_GN_100B_U,TR_S_671_EOT_GN,1266326,61,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Up,false,0,0
2329,SSP_GN_100C_U,TR_S_671_EOT_GN,1269526,39,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Strategy_1,Up,false,0,0
2330,SSP_GN_100D_U,TR_S_671_EOT_GN,1272726,9,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2331,SSP_GN_100E_U,TR_S_671_EOT_GN,1275926,871,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2332,SSP_GN_13A_U,TR_1A_CS_GN,1263031,-33,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
2333,SSP_GN_13B_U,TR_1A_CS_GN,1266231,-36,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Up,false,0,0
2334,SSP_GN_13C_U,TR_1A_CS_GN,1269431,-31,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Strategy_1,Up,false,0,0
2335,SSP_GN_13D_U,TR_1A_CS_GN,1272631,-7,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2336,SSP_GN_13E_U,TR_1A_CS_GN,1275831,940,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2337,SSP_GN_20A_U,TR_2A_CS_GN,1261713,48,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
2338,SSP_GN_20B_U,TR_2A_CS_GN,1264913,20,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Up,false,0,0
2339,SSP_GN_20C_U,TR_2A_CS_GN,1268113,27,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Strategy_1,Up,false,0,0
2340,SSP_GN_20D_U,TR_2A_CS_GN,1271313,4,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2341,SSP_GN_20E_U,TR_2A_CS_GN,1274513,851,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2342,SSP_GN_110A_U,TR_S_673_EOT_GN,1261618,19,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
2343,SSP_GN_110B_U,TR_S_673_EOT_GN,1264818,18,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Up,false,0,0
2344,SSP_GN_110C_U,TR_S_673_EOT_GN,1268018,-18,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Strategy_1,Up,false,0,0
